Microorganism,Species,Strain,Product group,Product,Treatment,aw,pH,T,D,z,log D,log D (model),Ref,Year,Remarks,,log D model dairy,log D model milk,log D model meat,log D model beef,log D model chicken,,F-test,logD (all),logD (10% NaCl),logD (rest)
Listeria,monocytogenes,Scott A,Dairy,Milk,formulated,,7,65,0.4,,-0.397940009,-0.3544,Chhabra et al.,1999,,,-0.4759,-0.5014,,,,,,-0.306287037,,-0.353717807
Listeria,monocytogenes,Scott A,Dairy,Milk,formulated (+ milkfat (2.5%)),,5,55,18.25,,1.261262869,1.0656,Chhabra et al.,1999,,,1.0941,1.1016,,,,,,1.074470433,,1.066184747
Listeria,monocytogenes,Scott A,Dairy,Milk,formulated (+ milkfat (2.5%)),,6,55,82.75,,1.917768002,1.0656,Chhabra et al.,1999,,,1.0941,1.1016,,,,,,1.074470433,,1.066184747
Listeria,monocytogenes,Scott A,Dairy,Milk,formulated (+ milkfat (2.5%)),,7,55,82,,1.913813852,1.0656,Chhabra et al.,1999,,,1.0941,1.1016,,,,,,1.074470433,,1.066184747
Listeria,monocytogenes,Scott A,Dairy,Milk,formulated (+ milkfat (2.5%)),,5,60,2.575,,0.410777233,0.3556,Chhabra et al.,1999,,,0.3091,0.3001,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,Scott A,Dairy,Milk,formulated (+ milkfat (2.5%)),,6,60,2.9,,0.462397998,0.3556,Chhabra et al.,1999,,,0.3091,0.3001,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,Scott A,Dairy,Milk,formulated (+ milkfat (2.5%)),,7,60,3.275,,0.515211304,0.3556,Chhabra et al.,1999,,,0.3091,0.3001,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,Scott A,Dairy,Milk,formulated (+ milkfat (2.5%)),,5,65,0.425,,-0.37161107,-0.3544,Chhabra et al.,1999,,,-0.4759,-0.5014,,,,,,-0.306287037,,-0.353717807
Listeria,monocytogenes,Scott A,Dairy,Milk,formulated (+ milkfat (2.5%)),,6,65,0.35,,-0.455931956,-0.3544,Chhabra et al.,1999,,,-0.4759,-0.5014,,,,,,-0.306287037,,-0.353717807
Listeria,monocytogenes,Scott A,Dairy,Milk,formulated (+ milkfat (2.5%)),,7,65,0.45,,-0.346787486,-0.3544,Chhabra et al.,1999,,,-0.4759,-0.5014,,,,,,-0.306287037,,-0.353717807
Listeria,monocytogenes,Scott A,Dairy,Milk,formulated (+ milkfat (5%)),,5,55,18.5,,1.267171728,1.0656,Chhabra et al.,1999,,,1.0941,1.1016,,,,,,1.074470433,,1.066184747
Listeria,monocytogenes,Scott A,Dairy,Milk,formulated (+ milkfat (5%)),,6,55,78.75,,1.896250562,1.0656,Chhabra et al.,1999,,,1.0941,1.1016,,,,,,1.074470433,,1.066184747
Listeria,monocytogenes,Scott A,Dairy,Milk,formulated (+ milkfat (5%)),,7,55,66.25,,1.821185883,1.0656,Chhabra et al.,1999,,,1.0941,1.1016,,,,,,1.074470433,,1.066184747
Listeria,monocytogenes,Scott A,Dairy,Milk,formulated (+ milkfat (5%)),,5,60,2.5,,0.397940009,0.3556,Chhabra et al.,1999,,,0.3091,0.3001,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,Scott A,Dairy,Milk,formulated (+ milkfat (5%)),,6,60,2.3,,0.361727836,0.3556,Chhabra et al.,1999,,,0.3091,0.3001,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,Scott A,Dairy,Milk,formulated (+ milkfat (5%)),,7,60,3.55,,0.550228353,0.3556,Chhabra et al.,1999,,,0.3091,0.3001,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,Scott A,Dairy,Milk,formulated (+ milkfat (5%)),,5,65,0.35,,-0.455931956,-0.3544,Chhabra et al.,1999,,,-0.4759,-0.5014,,,,,,-0.306287037,,-0.353717807
Listeria,monocytogenes,Scott A,Dairy,Milk,formulated (+ milkfat (5%)),,6,65,0.375,,-0.425968732,-0.3544,Chhabra et al.,1999,,,-0.4759,-0.5014,,,,,,-0.306287037,,-0.353717807
Listeria,monocytogenes,Scott A,Dairy,Milk,formulated (+ milkfat (5%)),,7,65,0.375,,-0.425968732,-0.3544,Chhabra et al.,1999,,,-0.4759,-0.5014,,,,,,-0.306287037,,-0.353717807
Listeria,monocytogenes,,Dairy,Milk,raw,,,52.2,26.9,,1.42975228,1.4632,ICMSF,1996,,,1.5337,1.55044,,,,,,1.461082525,,1.463757462
Listeria,monocytogenes,,Dairy,Milk,raw,,,52.2,29.2,,1.465382851,1.4632,ICMSF,1996,,,1.5337,1.55044,,,,,,1.461082525,,1.463757462
Listeria,monocytogenes,,Dairy,Milk,raw,,,52.2,52.8,,1.722633923,1.4632,ICMSF,1996,,,1.5337,1.55044,,,,,,1.461082525,,1.463757462
Listeria,monocytogenes,,Dairy,Milk,raw,,,52.2,38.16,,1.581608366,1.4632,ICMSF,1996,,,1.5337,1.55044,,,,,,1.461082525,,1.463757462
Listeria,monocytogenes,,Dairy,Milk,raw,,,57.8,4.49,,0.652246341,0.668,ICMSF,1996,,,0.6545,0.65276,,,,,,0.687858341,,0.668612032
Listeria,monocytogenes,,Dairy,Milk,raw,,,57.8,5.16,,0.712649702,0.668,ICMSF,1996,,,0.6545,0.65276,,,,,,0.687858341,,0.668612032
Listeria,monocytogenes,,Dairy,Milk,raw,,,57.8,8.17,,0.912222057,0.668,ICMSF,1996,,,0.6545,0.65276,,,,,,0.687858341,,0.668612032
Listeria,monocytogenes,,Dairy,Milk,raw,,,57.8,7.42,,0.870403905,0.668,ICMSF,1996,,,0.6545,0.65276,,,,,,0.687858341,,0.668612032
Listeria,monocytogenes,,Dairy,Milk,raw,,,63.3,0.223333333,,-0.651046452,-0.113,ICMSF,1996,,,-0.209,-0.22889,,,,,,-0.071558267,,-0.112334372
Listeria,monocytogenes,,Dairy,Milk,raw,,,63.3,0.473333333,,-0.32483291,-0.113,ICMSF,1996,,,-0.209,-0.22889,,,,,,-0.071558267,,-0.112334372
Listeria,monocytogenes,,Dairy,Milk,raw,,,63.3,0.555,,-0.255707017,-0.113,ICMSF,1996,,,-0.209,-0.22889,,,,,,-0.071558267,,-0.112334372
Listeria,monocytogenes,,Dairy,Milk,raw,,,63.3,0.556666667,,-0.254404784,-0.113,ICMSF,1996,,,-0.209,-0.22889,,,,,,-0.071558267,,-0.112334372
Listeria,monocytogenes,,Dairy,Milk,raw,,,63.3,0.495,,-0.305394801,-0.113,ICMSF,1996,,,-0.209,-0.22889,,,,,,-0.071558267,,-0.112334372
Listeria,monocytogenes,,Dairy,Milk,raw,,,66.1,0.103333333,,-0.985759561,-0.5106,ICMSF,1996,,,-0.6486,-0.67773,,,,,,-0.458170359,,-0.509907088
Listeria,monocytogenes,,Dairy,Milk,raw,,,66.1,0.168333333,,-0.773829877,-0.5106,ICMSF,1996,,,-0.6486,-0.67773,,,,,,-0.458170359,,-0.509907088
Listeria,monocytogenes,,Dairy,Milk,raw,,,66.1,0.251666667,,-0.599174303,-0.5106,ICMSF,1996,,,-0.6486,-0.67773,,,,,,-0.458170359,,-0.509907088
Listeria,monocytogenes,,Dairy,Milk,raw,,,68.9,0.035,,-1.455931956,-0.9082,ICMSF,1996,,,-1.0882,-1.12657,,,,,,-0.84478245,,-0.907479803
Listeria,monocytogenes,,Dairy,Milk,raw,,,68.9,0.07,,-1.15490196,-0.9082,ICMSF,1996,,,-1.0882,-1.12657,,,,,,-0.84478245,,-0.907479803
Listeria,monocytogenes,,Dairy,Milk,raw,,,68.9,0.116666667,,-0.93305321,-0.9082,ICMSF,1996,,,-1.0882,-1.12657,,,,,,-0.84478245,,-0.907479803
Listeria,monocytogenes,,Dairy,Milk,raw,,,68.9,0.12,,-0.920818754,-0.9082,ICMSF,1996,,,-1.0882,-1.12657,,,,,,-0.84478245,,-0.907479803
Listeria,monocytogenes,,Dairy,Milk,raw,,,68.9,0.088333333,,-1.053875381,-0.9082,ICMSF,1996,,,-1.0882,-1.12657,,,,,,-0.84478245,,-0.907479803
Listeria,monocytogenes,,Dairy,Milk,raw,,,71.7,0.013333333,,-1.875061263,-1.3058,ICMSF,1996,,,-1.5278,-1.57541,,,,,,-1.231394542,,-1.305052518
Listeria,monocytogenes,,Dairy,Milk,raw,,,71.7,0.018333333,,-1.736758565,-1.3058,ICMSF,1996,,,-1.5278,-1.57541,,,,,,-1.231394542,,-1.305052518
Listeria,monocytogenes,,Dairy,Milk,raw,,,71.7,0.021666667,,-1.664207898,-1.3058,ICMSF,1996,,,-1.5278,-1.57541,,,,,,-1.231394542,,-1.305052518
Listeria,monocytogenes,,Dairy,Milk,raw,,,74.4,0.008333333,,-2.079181246,-1.6892,ICMSF,1996,,,-1.9517,-2.00822,,,,,,-1.604199059,,-1.688426207
Listeria,monocytogenes,,Dairy,Milk,raw,,,74.4,0.015,,-1.823908741,-1.6892,ICMSF,1996,,,-1.9517,-2.00822,,,,,,-1.604199059,,-1.688426207
Listeria,monocytogenes,,Dairy,Milk,reconstituted nonfat dry,,,50,31.67,,1.500648063,1.7756,ICMSF,1996,,,1.8791,1.9031,,,,,,1.764849168,,1.776136024
Listeria,monocytogenes,,Dairy,Milk,reconstituted nonfat dry,,,55,4.5,,0.653212514,1.0656,ICMSF,1996,,,1.0941,1.1016,,,,,,1.074470433,,1.066184747
Listeria,monocytogenes,,Dairy,Milk,reconstituted nonfat dry,,,60,0.95,,-0.022276395,0.3556,ICMSF,1996,,,0.3091,0.3001,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,,Dairy,Milk,reconstituted nonfat dry,,,62.8,0.333333333,,-0.477121255,-0.042,ICMSF,1996,,,-0.1305,-0.14874,,,,,,-0.002520394,,-0.041339245
Listeria,monocytogenes,,Dairy,Milk,reconstituted nonfat dry,,,65,0.1,,-1,-0.3544,ICMSF,1996,,,-0.4759,-0.5014,,,,,,-0.306287037,,-0.353717807
Listeria,monocytogenes,,Dairy,Milk,reconstituted nonfat dry,,,70,0.023333333,,-1.632023215,-1.0644,ICMSF,1996,,,-1.2609,-1.3029,,,,,,-0.996665772,,-1.063669084
Listeria,monocytogenes,,Dairy,Milk,reconstituted nonfat dry,,,71.7,0.015666667,,-1.805023397,-1.3058,ICMSF,1996,,,-1.5278,-1.57541,,,,,,-1.231394542,,-1.305052518
Listeria,monocytogenes,,Dairy,Milk,reconstituted nonfat dry,,,75,0.007666667,,-2.115393419,-1.7744,ICMSF,1996,,,-2.0459,-2.1044,,,,,,-1.687044507,,-1.773620361
Listeria,monocytogenes,F5069,Dairy,Milk,skim,,,62.7,0.9,,-0.045757491,-0.0278,Donnelly and Briggs,1986,,,-0.1148,-0.13271,,,,,,0.011287181,,-0.027140219
Listeria,monocytogenes,F5027,Dairy,Milk,skim,,,61.9,0.4,,-0.397940009,0.0858,Doyle et al.,2001,sealed tube,,0.0108,-0.00447,,,,,,0.121747779,,0.086451985
Listeria,monocytogenes,19115,Dairy,Milk,skim,,,61.9,0.1,,-1,0.0858,Doyle et al.,2001,sealed tube,,0.0108,-0.00447,,,,,,0.121747779,,0.086451985
Listeria,monocytogenes,F5069,Dairy,Milk,skim,,,61.9,0.4,,-0.397940009,0.0858,Doyle et al.,2001,sealed tube,,0.0108,-0.00447,,,,,,0.121747779,,0.086451985
Listeria,monocytogenes,F5069,Dairy,Milk,skim,,,56,9,,0.954242509,0.9236,Doyle et al.,2001,,,0.9371,0.9413,,,,,,0.936394686,,0.924194492
Listeria,monocytogenes,F5069,Dairy,Milk,skim,,,60,1,,0,0.3556,Doyle et al.,2001,,,0.3091,0.3001,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,F5069,Dairy,Milk,skim,,,65.85,0.1,,-1,-0.4751,Doyle et al.,2001,,,-0.60935,-0.63765,,,,,,-0.423651422,,-0.474409524
Listeria,monocytogenes,F5069,Dairy,Milk,skim,,,61.9,0.64,,-0.193820026,0.0858,Doyle et al.,2001,,,0.0108,-0.00447,,,,,,0.121747779,,0.086451985
Listeria,monocytogenes,F5069,Dairy,Milk,skim,,,65.85,0.13,,-0.886056648,-0.4751,Doyle et al.,2001,,,-0.60935,-0.63765,,,,,,-0.423651422,,-0.474409524
Listeria,monocytogenes,F5069,Dairy,Milk,skim,,,67.75,0.058,,-1.236572006,-0.7449,Doyle et al.,2001,,,-0.90765,-0.94222,,,,,,-0.685995341,,-0.744191009
Listeria,monocytogenes,F5069,Dairy,Milk,skim,,,69.75,0.023,,-1.638272164,-1.0289,Doyle et al.,2001,,,-1.22165,-1.26283,,,,,,-0.962146835,,-1.02817152
Listeria,monocytogenes,V7,Dairy,Milk,skim,,,55,4.65,,0.667452953,1.0656,Doyle et al.,2001,,,1.0941,1.1016,,,,,,1.074470433,,1.066184747
Listeria,monocytogenes,V7,Dairy,Milk,skim,,,60,1.05,,0.021189299,0.3556,Doyle et al.,2001,,,0.3091,0.3001,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,V7,Dairy,Milk,skim,,,62.8,0.33,,-0.48148606,-0.042,Doyle et al.,2001,,,-0.1305,-0.14874,,,,,,-0.002520394,,-0.041339245
Listeria,monocytogenes,V7,Dairy,Milk,skim,,,65.15,0.1,,-1,-0.3757,Doyle et al.,2001,,,-0.49945,-0.52544,,,,,,-0.326998399,,-0.375016345
Listeria,monocytogenes,V7,Dairy,Milk,skim,,,69.75,0.023,,-1.638272164,-1.0289,Doyle et al.,2001,,,-1.22165,-1.26283,,,,,,-0.962146835,,-1.02817152
Listeria,monocytogenes,V7,Dairy,Milk,skim,,,71.7,0.016,,-1.795880017,-1.3058,Doyle et al.,2001,,,-1.5278,-1.57541,,,,,,-1.231394542,,-1.305052518
Listeria,monocytogenes,,Dairy,Milk,skim,,,55,4.5,,0.653212514,1.0656,Doyle et al.,2001,,,1.0941,1.1016,,,,,,1.074470433,,1.066184747
Listeria,monocytogenes,,Dairy,Milk,skim,,,60,0.95,,-0.022276395,0.3556,Doyle et al.,2001,,,0.3091,0.3001,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,Scott A,Dairy,Milk,skim,,,55,4.35,,0.638489257,1.0656,Doyle et al.,2001,,,1.0941,1.1016,,,,,,1.074470433,,1.066184747
Listeria,monocytogenes,Scott A,Dairy,Milk,skim,,,60,0.97,,-0.013228266,0.3556,Doyle et al.,2001,,,0.3091,0.3001,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,California,Dairy,Milk,skim,,,55,4.02,,0.604226053,1.0656,Doyle et al.,2001,,,1.0941,1.1016,,,,,,1.074470433,,1.066184747
Listeria,monocytogenes,California,Dairy,Milk,skim,,,60,0.95,,-0.022276395,0.3556,Doyle et al.,2001,,,0.3091,0.3001,,,,,,0.384091698,,0.35623347
Listeria,monocytogenes,,Dairy,Milk,"skim, raw",,,52.2,43.57,5.8,1.63918756,1.4632,ICMSF,1996,,,1.5337,1.55044,,,,,,1.461082525,,1.463757462
Listeria,monocytogenes,,Dairy,Milk,"skim, raw",,,57.8,6.25,5.8,0.795880017,0.668,ICMSF,1996,,,0.6545,0.65276,,,,,,0.687858341,,0.668612032
